study_id,config_id,algorithm,environment,seed,run_attempt,status,source_commit,dataset_sha,eval_points,evaluation_steps,final_step,final_success,best_success,best_step,last3_mean,normalized_auc,auc_status,auc_missing_steps,run_dir,eval_path,failure_reason
M22,M22-CRL-P4X6,crl,puzzle-4x6-play-v0,1,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-CRL-P4X6__crl-p4x6/puzzle-4x6-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-CRL-P4X6__crl-p4x6/puzzle-4x6-play-v0/seed_001/eval.csv,
M22,M22-CRL-P4X6,crl,puzzle-4x6-play-v0,2,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-CRL-P4X6__crl-p4x6/puzzle-4x6-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-CRL-P4X6__crl-p4x6/puzzle-4x6-play-v0/seed_002/eval.csv,
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,0,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_000/eval.csv,
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,1,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_001/eval.csv,
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,2,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P3X3__gcbc-p3x3/puzzle-3x3-play-v0/seed_002/eval.csv,
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,0,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_000/eval.csv,
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,1,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_001/eval.csv,
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,2,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X4__gcbc-p4x4/puzzle-4x4-play-v0/seed_002/eval.csv,
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,0,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_000/eval.csv,
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,1,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_001/eval.csv,
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,2,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X5__gcbc-p4x5/puzzle-4x5-play-v0/seed_002/eval.csv,
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,0,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_000/eval.csv,
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,1,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_001/eval.csv,
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,2,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCBC-P4X6__gcbc-p4x6/puzzle-4x6-play-v0/seed_002/eval.csv,
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,0,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_000/eval.csv,
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,1,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_001/eval.csv,
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,2,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P3X3__gciql-p3x3/puzzle-3x3-play-v0/seed_002/eval.csv,
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,0,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_000/eval.csv,
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,1,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_001/eval.csv,
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,2,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X4__gciql-p4x4/puzzle-4x4-play-v0/seed_002/eval.csv,
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,0,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_000/eval.csv,
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,1,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_001/eval.csv,
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,2,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X5__gciql-p4x5/puzzle-4x5-play-v0/seed_002/eval.csv,
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,0,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_000/eval.csv,
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,1,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_001/eval.csv,
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,2,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIQL-P4X6__gciql-p4x6/puzzle-4x6-play-v0/seed_002/eval.csv,
M22,M22-GCIVL-P3X3,gcivl,puzzle-3x3-play-v0,0,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_000/eval.csv,
M22,M22-GCIVL-P3X3,gcivl,puzzle-3x3-play-v0,1,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_001/eval.csv,
M22,M22-GCIVL-P3X3,gcivl,puzzle-3x3-play-v0,2,0,missing,,bca9b1775ea5c01af5ac3f9b652709d341bddd17fe4b6368056566ac3c5fbb0f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P3X3__gcivl-p3x3/puzzle-3x3-play-v0/seed_002/eval.csv,
M22,M22-GCIVL-P4X4,gcivl,puzzle-4x4-play-v0,0,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_000/eval.csv,
M22,M22-GCIVL-P4X4,gcivl,puzzle-4x4-play-v0,1,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_001/eval.csv,
M22,M22-GCIVL-P4X4,gcivl,puzzle-4x4-play-v0,2,0,missing,,396a029c4c347498eed3e21cd85f99c72c56f786e84c29787715808f27cdfe8a,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X4__gcivl-p4x4/puzzle-4x4-play-v0/seed_002/eval.csv,
M22,M22-GCIVL-P4X5,gcivl,puzzle-4x5-play-v0,0,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_000/eval.csv,
M22,M22-GCIVL-P4X5,gcivl,puzzle-4x5-play-v0,1,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_001/eval.csv,
M22,M22-GCIVL-P4X5,gcivl,puzzle-4x5-play-v0,2,0,missing,,7f25e3161280aa4ff1234a279ba7a0a4466df6a8e4f5af64fd2b1bfe8df892cc,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_002,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X5__gcivl-p4x5/puzzle-4x5-play-v0/seed_002/eval.csv,
M22,M22-GCIVL-P4X6,gcivl,puzzle-4x6-play-v0,0,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X6__gcivl-p4x6/puzzle-4x6-play-v0/seed_000,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X6__gcivl-p4x6/puzzle-4x6-play-v0/seed_000/eval.csv,
M22,M22-GCIVL-P4X6,gcivl,puzzle-4x6-play-v0,1,0,missing,,8d3de9cad77874484367d492540baac385cb487cf94b2649547770bf7d0b6c9f,0,[],,,,,,,not_available,"[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000]",/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X6__gcivl-p4x6/puzzle-4x6-play-v0/seed_001,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M22/M22-GCIVL-P4X6__gcivl-p4x6/puzzle-4x6-play-v0/seed_001/eval.csv,
